mol_name,activity,potency
CHEMBL3260813,Active,8.522878745280337
CHEMBL3649903,Active,9.0
CHEMBL3649844,Active,9.0
CHEMBL2386170,Active,6.679853714
CHEMBL3318758,Active,10.09151498112135
CHEMBL4091422,Active,6.769551078621726
CHEMBL3693964,Active,5.301029995663981
CHEMBL3653202,Active,9.795880017344075
CHEMBL2152325,Active,5.356547323513812
CHEMBL3355422,Active,7.004364805402449
CHEMBL3650068,Active,7.903089986991944
CHEMBL3691694,Active,8.721246399047171
CHEMBL405395,Active,8.301029995663981
CHEMBL3653217,Active,9.8860566
CHEMBL4105428,Active,6.638272163982407
CHEMBL3703343,Active,8.08512818245995
CHEMBL3656986,Active,9.958607314841775
CHEMBL3220116,Active,5.958607314841775
CHEMBL4169196,Active,6.15490196
CHEMBL3657007,Active,9.37675071
CHEMBL4064911,Active,8.036212172654444
CHEMBL4104786,Active,6.492144128304169
CHEMBL378100,Active,5.66351525
CHEMBL3649971,Active,7.721246399047171
CHEMBL4073512,Active,7.298432014944073
CHEMBL3687258,Active,8.3767507096021
CHEMBL3920081,Active,5.301029995663981
CHEMBL3663869,Active,5.301029995663981
CHEMBL3657127,Active,9.356547323513812
CHEMBL426321,Active,6.060480747381382
CHEMBL3653207,Active,9.795880017344075
CHEMBL3649982,Active,8.301029995663981
CHEMBL3650017,Active,9.0
CHEMBL3979791,Active,7.180456064458131
CHEMBL3653165,Active,8.643974142806877
CHEMBL3649878,Active,8.045757490560675
CHEMBL378030,Active,5.065501548756432
CHEMBL3657080,Active,9.00436480540245
CHEMBL3691718,Active,8.648783655
CHEMBL3691761,Active,9.38933983691012
CHEMBL3125697,Active,9.698970004336019
CHEMBL3963317,Active,8.301029995663981
CHEMBL267823,Active,5.17587416608345
CHEMBL3657026,Active,9.4089354
CHEMBL4067165,Active,6.804100347590766
CHEMBL4111957,Active,6.290730039024169
CHEMBL3265104,Active,7.0
CHEMBL4470904,Active,7.214670164989233
CHEMBL3290670,Active,5.863279432843593
CHEMBL3657105,Active,9.504455662453552
CHEMBL3109038,Active,7.2441251443275085
CHEMBL4059725,Active,6.460923901207223
CHEMBL3653233,Active,9.721246399047171
CHEMBL1688259,Active,6.346787486224656
CHEMBL3650002,Active,9.0
CHEMBL3675227,Active,5.568636235841012
CHEMBL3657036,Active,8.23582386760967
CHEMBL4166759,Active,5.721246399047171
CHEMBL3657001,Active,9.568636235841012
CHEMBL3260816,Active,8.522878745280337
CHEMBL3665601,Active,7.25181197
CHEMBL3961782,Active,7.392544976785332
CHEMBL593927,Active,5.086186147616282
CHEMBL3653331,Active,8.154901959985743
CHEMBL4471701,Active,7.978810700930062
CHEMBL3647045,Active,8.397940008672037
CHEMBL3402515,Active,7.6777807052660805
CHEMBL3985795,Active,8.522878745280337
CHEMBL3657002,Active,9.244125144327509
CHEMBL3693976,Active,7.281083313985139
CHEMBL3653255,Active,9.193820026016112
CHEMBL3687308,Active,7.634512015109101
CHEMBL4061874,Active,6.187086643357144
CHEMBL3649822,Active,8.47712125
CHEMBL3959078,Active,9.0
CHEMBL3936690,Active,7.5376020021010435
CHEMBL4100946,Active,7.0
CHEMBL3687226,Active,5.321335970088427
CHEMBL5173513,Active,7.50895578551131
CHEMBL3650074,Active,8.4089353929735
CHEMBL4458635,Active,5.31857784
CHEMBL3653221,Active,8.446116973356126
CHEMBL3653284,Active,8.782516055786093
CHEMBL3691777,Active,7.612076533026563
CHEMBL3649838,Active,7.455931956
CHEMBL3657031,Active,10.301029996
CHEMBL3125524,Active,9.022276395
CHEMBL3233127,Active,8.657577319177793
CHEMBL3649819,Active,9.0
CHEMBL3653223,Active,8.939302159646388
CHEMBL3691721,Active,9.02525809549905
